Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,Hist_MaxQs,Ann_MaxQs
2002,1584.29,95.66,24.99,12800,25.04,0.41,2.35,87417,13371
2001,622.8,36.49,48.14,9110,3288.11,0.86,5.85,35715,4717
2001,820.69,62.77,-,4580,-,2.85,-,118000,20518
2001,221.73,14.02,16.14,1910,249,0.37,2.84,18900,461
2001,247.28,13.59,18.95,3640,2130,0.36,1.26,49693,206
2001,633.18,31.27,31.35,6340,3260,0.06,1.71,45600,2910
2001,417.08,25.33,30.47,1471.64,390.5,3.3,8.19,49253,1388
2001,1980.65,115.95,101.06,13500,10100,5.41,25,21500,3910
2001,2090.62,90.41,-,8320,-,6,-,37170,-
2001,597.46,24.55,-,3740,3740,0,3.44,16534,7335
2001,149.68,7.73,-,2160,205,0,0.1,8240,821
2001,441.02,19.05,-,5980,2290,0,2.66,39364,8149
2001,226.66,8.68,-,1600,1060,0,0.17,77965,77965
2001,1115.9,26.21,-,4000,-,0,-,160996,-
2001,146.46,5.71,10.98,725,725,0,0.24,37380,6445
2001,139.62,8.06,9.21,1770,702,0,0.03,753353,14782
2001,812.03,67.18,70.35,6500,3400,0,11.3,47465,14783
2001,175.3,16.69,22.55,1690,432,0.34,1.3,2388,1096
2001,309.86,24.72,43.16,4350,2000,0,0.26,28706,11604
2001,1506,99.46,146.69,11900,11700,16.5,35,56000,48600
2001,1538.81,105.87,141.35,14300,7990,12,37.8,33400,15100
2001,1584.29,95.03,129.55,12800,4930,0.41,4.4,87417,87417
