Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,RiverCoeff,Hist_MaxQs,Ann_MaxQs
1992,1980.65,116.65,140.09,13500.00,2810.00,5.41,38.00,23276,21500,2340
1992,2090.62,92.75,101.66,6020.00,1350.00,6.00,21.20,1387,37170,25000
1992,597.46,25.29,28.54,3640.00,1000.00,0.00,1.80,-,16534,3991
1992,149.68,7.24,7.15,1300.00,324.00,0.00,0.00,-,8240,2864
1992,441.02,18.63,26.32,5980.00,1160.00,0.00,1.22,-,36300,7220
1992,226.66,8.66,11.07,1600.00,788.00,0.00,0.10,-,23833,3645
1992,1115.90,30.19,45.93,4000.00,4000.00,0.00,0.00,-,160996,35055
1992,146.46,5.40,9.15,608.00,608.00,0.00,0.04,-,37380,1444
1992,139.62,8.38,10.42,1770.00,1070.00,0.02,0.15,88500,753353,36717
1992,812.03,70.54,68.61,6160.00,2950.00,0.00,12.90,-,22677,6603
1992,175.30,16.99,16.34,1690.00,1040.00,0.34,4.12,4971,2388,383
1992,309.86,23.92,21.94,4350.00,4350.00,0.00,0.79,-,28706,5034
1992,1506.00,100.75,78.05,11900.00,2160.00,16.50,23.80,717,56000,11600
1992,1538.81,105.81,95.46,14300.00,3900.00,12.00,19.00,1135,33400,11700
1992,1584.29,96.63,79.53,12800.00,1480.00,0.41,9.96,31220,64000,27100
1991,622.80,36.16,27.21,9110.00,-,1.37,2.54,6650,35715,2276
1991,820.69,62.12,58.97,4580.00,1298.00,2.85,7.37,1607,36600,12680
1991,221.73,14.01,8.72,1910.00,-,0.37,1.78,5162,18016,128
1991,247.28,13.15,8.67,3640.00,595.00,0.36,1.06,10111,49693,231
1991,633.18,30.83,8.49,6340.00,-,0.06,0.99,105667,24500,723
1991,417.08,24.52,14.77,1471.64,185.00,3.40,4.40,446,4692,1434
1991,1980.65,115.75,72.60,13500.00,1820.00,5.41,21.90,23276,21500,1580
1991,2090.62,90.97,49.74,6020.00,623.00,6.00,6.00,1387,37170,7965
1991,597.46,25.21,13.98,3640.00,441.00,0.00,0.60,-,16534,778
1991,149.68,7.24,2.71,1300.00,196.00,0.00,0.22,-,8240,356
1991,441.02,18.41,10.81,5980.00,662.00,0.00,0.92,-,36300,4466
1991,226.66,8.58,5.87,1600.00,505.00,0.00,0.30,-,23833,3498
1991,1115.90,28.62,19.16,3150.00,1640.00,0.00,0.00,-,160996,16574
1991,146.46,5.21,5.20,598.00,463.00,0.00,0.01,-,37380,553
1991,139.62,8.18,7.08,1770.00,683.00,0.02,0.02,88500,753353,57609
